,Unnamed: 0,latitude,longitude,property_type,room_type,beds,accommodates,price,number_of_reviews,review_scores_rating,host_is_superhost,host_listings_count,host_total_listings_count
12520,16640,40.67992,-73.93789,Entire rental unit,Entire home/apt,1.0,2,286.0,192,4.91,True,4.0,4.0
12521,16641,40.68183,-73.93929,Entire rental unit,Entire home/apt,1.0,2,282.0,50,4.9,True,4.0,4.0
12522,16643,40.68102,-73.97552,Entire rental unit,Entire home/apt,2.0,4,160.0,157,4.41,True,2.0,2.0
12523,16644,40.6807,-73.97769,Entire townhouse,Entire home/apt,2.0,4,161.0,125,4.56,True,2.0,2.0
12524,16645,40.72846,-73.9866,Entire rental unit,Entire home/apt,1.0,2,185.0,11,4.18,False,1.0,1.0
12525,16646,40.76437,-73.87142,Entire home,Entire home/apt,2.0,5,155.0,1,5.0,True,2.0,3.0
12526,16647,40.76522,-73.87155,Entire rental unit,Entire home/apt,2.0,4,135.0,2,5.0,True,2.0,3.0
12527,16648,40.75887,-73.93393,Private room in rental unit,Private room,1.0,1,90.0,12,4.92,False,1.0,1.0
12528,16649,40.64813,-73.90955,Entire rental unit,Entire home/apt,3.0,6,197.0,42,4.95,True,1.0,1.0
12529,16650,40.78057,-73.95188,Entire rental unit,Entire home/apt,1.0,3,190.0,1,5.0,False,1.0,1.0
12530,16651,40.68828,-73.81454,Entire rental unit,Entire home/apt,2.0,2,275.0,43,4.6,False,1.0,2.0
12531,16652,40.7745,-73.94928,Entire rental unit,Entire home/apt,1.0,2,250.0,9,5.0,True,1.0,3.0
12532,16653,40.72617,-73.99437,Entire rental unit,Entire home/apt,1.0,2,215.0,2,4.0,False,1.0,3.0
12533,16654,40.81974,-73.94318,Entire condo,Entire home/apt,2.0,4,240.0,4,4.0,False,1.0,2.0
12534,16655,40.6951836,-73.8409908,Entire rental unit,Entire home/apt,3.0,5,236.0,10,4.7,True,4.0,4.0
12535,16656,40.69520796332764,-73.84099289774895,Entire rental unit,Entire home/apt,3.0,6,236.0,5,4.4,True,4.0,4.0
12536,16657,40.69527329337119,-73.84107135236263,Entire rental unit,Entire home/apt,2.0,6,236.0,7,4.0,True,4.0,4.0
12537,16658,40.6951836,-73.8409908,Entire rental unit,Entire home/apt,2.0,2,138.0,6,4.67,True,4.0,4.0
12538,16659,40.84349,-73.90987,Private room in rental unit,Private room,1.0,1,65.0,5,4.4,False,3.0,3.0
12539,16660,40.83393,-73.92499,Private room in rental unit,Private room,1.0,1,65.0,9,4.67,False,3.0,3.0
12540,16661,40.83561,-73.92356,Private room in rental unit,Private room,1.0,1,65.0,1,5.0,False,3.0,3.0
12541,16662,40.677859081808286,-73.93132478134677,Private room in rental unit,Private room,1.0,4,165.0,4,5.0,True,2.0,3.0
12542,16663,40.67539,-73.93226,Entire rental unit,Entire home/apt,2.0,4,199.0,15,4.93,True,2.0,3.0
12543,16666,40.70924,-73.95095,Private room in rental unit,Private room,1.0,1,86.0,1,4.0,False,1.0,2.0
12544,16668,40.69074,-73.80449,Entire home,Entire home/apt,1.0,3,129.0,16,4.69,False,1.0,1.0
12545,16669,40.80633,-73.94585,Entire townhouse,Entire home/apt,6.0,9,695.0,258,4.75,False,1.0,6.0
12546,16671,40.84719,-73.93434,Private room in rental unit,Private room,2.0,2,40.0,2,2.0,False,1.0,2.0
12547,16672,40.70245,-73.9113,Private room in rental unit,Private room,1.0,2,60.0,2,5.0,False,1.0,1.0
12548,16673,40.76487,-73.87651,Entire rental unit,Entire home/apt,3.0,4,111.0,98,4.76,False,1.0,1.0
12549,16674,40.74416,-73.95577,Private room in condo,Private room,1.0,2,264.0,18,5.0,True,1.0,1.0
12550,16683,40.72683,-73.98676,Entire rental unit,Entire home/apt,2.0,3,333.0,22,4.73,True,1.0,4.0
12551,16684,40.72224,-73.94563,Entire rental unit,Entire home/apt,4.0,6,225.0,4,4.75,False,1.0,1.0
12552,16685,40.69385,-73.97188,Entire rental unit,Entire home/apt,2.0,4,94.0,2,5.0,False,1.0,1.0
12553,16686,40.68477,-73.93692,Entire rental unit,Entire home/apt,1.0,1,43.0,11,4.36,False,1.0,1.0
12554,16687,40.85603,-73.86517,Shared room in rental unit,Shared room,1.0,2,68.0,77,4.78,False,1.0,6.0
12555,16688,40.76884,-73.9572,Entire rental unit,Entire home/apt,1.0,3,199.0,11,4.55,False,1.0,1.0
12556,16689,40.65543,-73.97818,Entire rental unit,Entire home/apt,3.0,5,131.0,1,5.0,False,1.0,2.0
12557,16690,40.67901,-73.91995,Private room in townhouse,Private room,1.0,1,137.0,50,4.96,False,3.0,6.0
12558,16692,40.81068,-73.95704,Entire rental unit,Entire home/apt,3.0,6,189.0,1,5.0,False,1.0,2.0
12559,16693,40.72412,-73.89796,Entire home,Entire home/apt,4.0,6,152.0,37,4.86,True,1.0,1.0
12560,16694,40.69042,-73.90974,Shared room in rental unit,Shared room,2.0,2,42.0,1,3.0,False,5.0,5.0
12561,16695,40.68823,-73.90845,Private room in rental unit,Private room,1.0,1,70.0,1,3.0,False,5.0,5.0
12562,16696,40.69004,-73.90829,Private room in rental unit,Private room,1.0,1,70.0,1,1.0,False,5.0,5.0
12563,16697,40.68831,-73.90989,Shared room in rental unit,Shared room,2.0,2,42.0,1,5.0,False,5.0,5.0
